bairro;mun;qt_den 
PONTA GROSSA;CAMPOS DOS GOYTACAZES;2;
PENHA;CAMPOS DOS GOYTACAZES;4;
LINHA DO LIMAO;CAMPOS DOS GOYTACAZES;1;
PARQUE AURORA;CAMPOS DOS GOYTACAZES;5;
MORRO DO COCO;CAMPOS DOS GOYTACAZES;1;
PARQUE SANTA ROSA;CAMPOS DOS GOYTACAZES;4;
TRAVESSAO;CAMPOS DOS GOYTACAZES;13;
ALDEIA;CAMPOS DOS GOYTACAZES;1;
RIO PRETO;CAMPOS DOS GOYTACAZES;7;
PALMEIRINHO;CAMPOS DOS GOYTACAZES;1;
SANTA ROSA;CAMPOS DOS GOYTACAZES;1;
NOVA CAMPOS;CAMPOS DOS GOYTACAZES;2;
PECUARIA;CAMPOS DOS GOYTACAZES;2;
FAXINA;CAMPOS DOS GOYTACAZES;1;
SANTA MARIA DE CAMPOS;CAMPOS DOS GOYTACAZES;5;
GOYTACASES;CAMPOS DOS GOYTACAZES;1;
CATORZE;CAMPOS DOS GOYTACAZES;1;
CAMPO NOVO;CAMPOS DOS GOYTACAZES;2;
LEOPOLDINA;CAMPOS DOS GOYTACAZES;1;
GOYTACAZES;CAMPOS DOS GOYTACAZES;5;
PAVUNA;CAMPOS DOS GOYTACAZES;1;
FRAMBOIAM;CAMPOS DOS GOYTACAZES;1;
BARRA DE ITABAPOANA;CAMPOS DOS GOYTACAZES;1;
PARQUE LEOPOLDINA;CAMPOS DOS GOYTACAZES;3;
SAO FRANCISCO;CAMPOS DOS GOYTACAZES;2;
VILA ROMANA;CAMPOS DOS GOYTACAZES;1;
SATURNINO BRAGA;CAMPOS DOS GOYTACAZES;4;
VEIGA;CAMPOS DOS GOYTACAZES;1;
CAJU;CAMPOS DOS GOYTACAZES;3;
CONSELHEIRO JOSINO;CAMPOS DOS GOYTACAZES;1;
CUSTADOPOLIS;CAMPOS DOS GOYTACAZES;1;
CUSTODOPOLIS;CAMPOS DOS GOYTACAZES;4;
DONANA;CAMPOS DOS GOYTACAZES;1;
BARCELOS;CAMPOS DOS GOYTACAZES;1;
FAROL DE SANTOME;CAMPOS DOS GOYTACAZES;5;
BUNANA;CAMPOS DOS GOYTACAZES;1;
PARQUE CALIFORNIA;CAMPOS DOS GOYTACAZES;13;
RADIO VELHO;CAMPOS DOS GOYTACAZES;2;
MARTINS LAJE;CAMPOS DOS GOYTACAZES;1;
NAZARIO PEREIRA GOMES;CAMPOS DOS GOYTACAZES;1;
CENTRO;CAMPOS DOS GOYTACAZES;70;
BANGU;CAMPOS DOS GOYTACAZES;1;
RIO BRANCO;CAMPOS DOS GOYTACAZES;1;
GARGAU;CAMPOS DOS GOYTACAZES;4;
TRAVESSAO DE CAMPOS;CAMPOS DOS GOYTACAZES;4;
MINEIROS;CAMPOS DOS GOYTACAZES;2;
LAPA;CAMPOS DOS GOYTACAZES;1;
ARRAIAL ENTRAVENSSAO DE CAMPOS;CAMPOS DOS GOYTACAZES;3;
URURAI;CAMPOS DOS GOYTACAZES;2;
SAO SEBASTIAO;CAMPOS DOS GOYTACAZES;1;
CACHOEIRA;CAMPOS DOS GOYTACAZES;1;
TURFI;CAMPOS DOS GOYTACAZES;1;
TAPERA;CAMPOS DOS GOYTACAZES;1;
MORRO GRANDE;CAMPOS DOS GOYTACAZES;1;
JARDIM PARAISO;CAMPOS DOS GOYTACAZES;1;
MATADOUTO;CAMPOS DOS GOYTACAZES;1;
SAO FRANCISCO DE ITABAPUANA;CAMPOS DOS GOYTACAZES;1;
LARGO DO GARCIA;CAMPOS DOS GOYTACAZES;1;
PONTA DA LAMA;CAMPOS DOS GOYTACAZES;2;
GUANDU;CAMPOS DOS GOYTACAZES;1;
GOIABA;CAMPOS DOS GOYTACAZES;1;
PROENCA;CAMPINAS;1;
CENTRO;CAMPINAS;1;
JARDIM SAN DIEGO;CAMPINAS;1;
GRANJA CALIFORNIA;PATY DO ALFERES;6;
CAPIVARA;PATY DO ALFERES;1;
COQUEIROS;PATY DO ALFERES;1;
PORTELA;PATY DO ALFERES;1;
MARCOS DA COSTA;PATY DO ALFERES;1;
ESPERANCA;PATY DO ALFERES;3;
PEDRAS RUIVAS;PATY DO ALFERES;3;
PALMARES;PATY DO ALFERES;2;
CENTRO;PATY DO ALFERES;25;
MANTIQUIRA;PATY DO ALFERES;1;
MANTIQUEIRA;PATY DO ALFERES;4;
AVELAR;PATY DO ALFERES;5;
GROTAO;PATY DO ALFERES;2;
VISTA ALEGRE;PATY DO ALFERES;2;
MARAVILHA;PATY DO ALFERES;10;
ARCOZELO;PATY DO ALFERES;9;
GOIABAL;PATY DO ALFERES;1;
RECANTO;PATY DO ALFERES;1;
ALTO DO CEMITERIO;LEOPOLDINA;1;
IMPERADOR;LEOPOLDINA;1;
SAO MARTINHO;LEOPOLDINA;1;
CENTRO;LEOPOLDINA;1;
RECREIO;LEOPOLDINA;1;
BENFICA;BELA VISTA DE MINAS;1;
RITAPOLIS;SAO JOAO DEL REI;1;
CENTRO;LAJE DO MURIAE;3;
PINDOBA;LAJE DO MURIAE;1;
COCOBO;IGUATU;1;
CENTRO;IGUATU;1;
AREAL;AREAL;1;
CAPAO;AREAL;1;
PARA;AREAL;2;
ALTO PARA;AREAL;2;
AMAZONAS;AREAL;4;
CENTRO;AREAL;9;
BAMBUI;AREAL;1;
PORTOES;AREAL;2;
PEDREIRA;AREAL;1;
SANTA RITA;APARECIDA D OESTE;1;
BOA VISTA;ARRAIAL DO CABO;1;
CANAA;ARRAIAL DO CABO;2;
MANUEL CORREA;ARRAIAL DO CABO;1;
PERNAMBUCANA;ARRAIAL DO CABO;1;
CAICARA;ARRAIAL DO CABO;1;
MONTE ALTO;ARRAIAL DO CABO;41;
PONTAL DO ATALAIA;ARRAIAL DO CABO;2;
SITIO;ARRAIAL DO CABO;10;
CENTRO;ARRAIAL DO CABO;47;
FIGUEIRA;ARRAIAL DO CABO;39;
PRAIA DOS ANJOS;ARRAIAL DO CABO;28;
RECANTO DO SABIA;ARRAIAL DO CABO;1;
