S SOFIA;SEROPEDICA;52;SANTA SOFIA
R COMPRIDO;RIO DE JANEIRO;4372;RIO COMPRIDO
ST TERESA;RIO DE JANEIRO;9;SANTA TERESA
ST TEREZA;RIO DE JANEIRO;5;SANTA TERESA
ST  TERESA;RIO DE JANEIRO;1;SANTA TERESA
S TERESINHA;JAPERI;186;SANTA TERESINHA
S TEREZA;MANGARATIBA;50;SANTA TEREZA
S TEREZINHA;MESQUITA;77;SANTA TEREZINHA
P C REIS;NITEROI;102;SANTANA
S ALEIXO;MAGE;140;SANTO ALEIXO
S ANTONIO;DUQUE DE CAXIAS;193;SANTO ANTONIO
S CRISTO;RIO DE JANEIRO;2053;SANTO CRISTO
STO CRISTO;RIO DE JANEIRO;2;SANTO CRISTO
S ELIAS;MESQUITA;108;SANTO ELIAS
S EXPEDITO;QUEIMADOS;23;SANTO EXPEDITO
S NEVES;NOVA IGUACU;65;SANTOS NEVES
S BENEDITO;NOVA IGUACU;116;SAO BENEDITO
S BENTO;DUQUE DE CAXIAS;225;SAO BENTO
S BERNARDO;BELFORD ROXO;104;SAO BERNARDO
S CARLOS;QUEIMADOS;20;SAO CARLOS
S CONRADO;RIO DE JANEIRO;1184;SAO CONRADO
S CONRRADO;RIO DE JANEIRO;4;SAO CONRADO
S CORRADO;RIO DE JANEIRO;2;SAO CONRADO
S CORADO;RIO DE JANEIRO;1;SAO CONRADO
S CRISTOVAO;RIO DE JANEIRO;3183;SAO CRISTOVAO
S CRITOVAO;RIO DE JANEIRO;4;SAO CRISTOVAO
S CISTOVAO;RIO DE JANEIRO;2;SAO CRISTOVAO
S DOMINGOS;NITEROI;660;SAO DOMINGOS
S FRANCISCO;NITEROI;1063;SAO FRANCISCO
S F PAULA;NOVA IGUACU;34;SAO FRANCISCO DE PAULA
S F XAVIER;RIO DE JANEIRO;317;SAO FRANCISCO XAVIER
S GABRIEL;NOVA IGUACU;40;SAO GABRIEL
